,logFC,AveExpr,t,P.Value,adj.P.Val,B
Lrrc16b,0.874346878,3.580448855,0.393031055,0.701860032,0.999996286,-4.598291097
LOC102552819,-0.348220325,0.117161684,-0.392779756,0.702040278,0.999996286,-4.595606184
LOC100911576,-0.583864754,2.192228856,-0.392552142,0.702203554,0.999996286,-4.5965939
Camk2n1,0.464508559,1.58733231,0.392354538,0.702345314,0.999996286,-4.596171804
Tppp3,-0.988846771,2.011749561,-0.392233971,0.702431814,0.999996286,-4.596453082
Tslp,-0.439808416,1.401252885,-0.39212171,0.70251236,0.999996286,-4.596069442
Apobr,-0.482106839,1.777564863,-0.392044599,0.702567687,0.999996286,-4.596289701
LOC103694137,0.54123508,1.688877832,0.391943876,0.70263996,0.999996286,-4.596233431
Linc00514,-0.536375049,-0.582496929,-0.391365101,0.703055312,0.999996286,-4.595469644
Angpt2,1.070154547,4.649623598,0.391337877,0.703074851,0.999996286,-4.600350645
Fap,-0.943349586,3.637355618,-0.391273405,0.703121126,0.999996286,-4.598393501
LOC103691989,0.719283104,2.569371304,0.39120857,0.703167662,0.999996286,-4.596942433
Satb2,-1.060465251,4.275430569,-0.391001366,0.703316394,0.999996286,-4.5995954
LOC102549347,0.672965472,2.339034237,0.390316939,0.703807771,0.999996286,-4.59672335
Emcn,-0.935327501,3.682296711,-0.390263788,0.703845937,0.999996286,-4.598473511
LOC100912991,0.605430993,2.329992794,0.390130418,0.703941706,0.999996286,-4.596715552
Cldn10,-0.379162865,0.618345928,-0.389837169,0.704152301,0.999996286,-4.595747473
Gdpd5,-0.919160553,3.474597377,-0.389671049,0.704271611,0.999996286,-4.598128392
Cdh22,0.427398332,-0.021510734,0.389613722,0.704312786,0.999996286,-4.595575892
Dbx2,-0.469910022,-0.572856301,-0.389565683,0.704347291,0.999996286,-4.595471817
LOC102550356,-0.46146666,-0.122768928,-0.389396272,0.704468978,0.999996286,-4.595554335
LOC680656,-0.352511708,0.885776704,-0.389379188,0.70448125,0.999996286,-4.595841795
Tnfrsf11a,-0.418277861,-0.271355742,-0.389336586,0.704511852,0.999996286,-4.595524782
Wnt4,0.940263243,3.559869401,0.389281665,0.704551304,0.999996286,-4.598268296
LOC102550336,0.416720104,1.195499748,0.388769531,0.704919238,0.999996286,-4.595971858
Rasgrp3,-0.885155938,3.436234981,-0.388630744,0.70501896,0.999996286,-4.59807067
Klf14,-0.549529479,2.493313524,-0.38857478,0.705059174,0.999996286,-4.596870765
Hspb7,0.489112417,1.7931127,0.388432211,0.705161622,0.999996286,-4.596304165
Tceal5,-0.3482129,0.69298769,-0.388177178,0.705344902,0.999996286,-4.595773252
LOC100360601,-0.462362621,-0.594646726,-0.387871029,0.705564942,0.999996286,-4.595468911
Txlnb,-0.414317815,-0.252367858,-0.3876551,0.705720154,0.999996286,-4.595529099
Syt3,-0.475294109,1.508327837,-0.387653121,0.705721576,0.999996286,-4.596131555
LOC102547244,0.741604446,2.959723076,0.387591138,0.705766133,0.999996286,-4.597395876
Syt15,-0.442912233,1.714095044,-0.387534296,0.705806995,0.999996286,-4.596254057
Gldn,0.934309845,4.004898154,0.387464636,0.705857073,0.999996286,-4.599077788
Wfdc1,0.703363823,3.317123798,0.38741175,0.705895094,0.999996286,-4.597890612
Fam189a2,-0.566718703,1.963670272,-0.387159762,0.706076262,0.999996286,-4.596424157
Sfn,-0.370210866,-0.052154975,-0.386856583,0.706294259,0.999996286,-4.595570424
Coro2a,0.598525066,2.214235418,0.386840609,0.706305745,0.999996286,-4.596620522
Eml5,1.029743434,3.988143842,0.386837816,0.706307754,0.999996286,-4.599048288
Map7,0.812221345,3.089636463,0.386827353,0.706315278,0.999996286,-4.597568368
RGD1562063,0.465576293,1.515569567,0.38621954,0.706752407,0.999996286,-4.59613702
Cyp46a1,-0.575246511,2.020582945,-0.385943732,0.706950799,0.999996286,-4.596468013
Faslg,0.329442243,0.838869603,0.385717449,0.707113585,0.999996286,-4.59582671
Mir3561,0.356491495,-0.100464869,0.385671355,0.707146747,0.999996286,-4.595560603
Zc3h12a,-0.391330737,1.280648684,-0.385605796,0.707193913,0.999996286,-4.596014793
Cttn,0.387138744,-0.050040601,0.385549707,0.707234267,0.999996286,-4.59557146
LOC685203,0.584702371,2.63111916,0.385477239,0.707286407,0.999996286,-4.597017085
LOC100911841,-0.342673781,0.235545999,-0.385396338,0.707344616,0.999996286,-4.595639194
Rgs16,-0.635255087,2.293714749,-0.385306686,0.707409123,0.999996286,-4.596690889
Cdh5,-1.284948719,5.222377626,-0.385231094,0.707463516,0.999996286,-4.601525601
Tekt3,-0.42525378,-0.329657868,-0.385046256,0.707596525,0.999996286,-4.595515507
LOC103693403,-0.458206618,0.716472081,-0.385020253,0.707615237,0.999996286,-4.595783334
Rasgrf1,0.401730088,-0.664575908,0.384175304,0.708223397,0.999996286,-4.5954592
Hmha1-2,-0.342402489,1.1396183,-0.384069806,0.708299345,0.999996286,-4.595950513
Rtn4rl1,-0.377284821,1.306341911,-0.384003664,0.708346963,0.999996286,-4.596028805
Enpp3,-0.627146726,2.108734084,-0.383787292,0.708502743,0.999996286,-4.596538825
St6galnac5,-0.579332478,-0.823994412,-0.383661739,0.708593143,0.999996286,-4.595435839
Egfl8,-0.758059756,3.052773863,-0.383380633,0.708795562,0.999996286,-4.59752662
Ube2l6,-0.335012562,0.342397037,-0.383102165,0.708996104,0.999996286,-4.595668844
Sp100,-0.458115126,-0.611652475,-0.383088907,0.709005653,0.999996286,-4.595467831
Unc5d,-0.731584421,3.034209125,-0.383017541,0.709057052,0.999996286,-4.597502672
LOC102553751,-0.378356001,1.075961082,-0.382925764,0.709123153,0.999996286,-4.595923529
Efnb3,-0.956866121,3.993178748,-0.382723602,0.709268768,0.999996286,-4.599073694
Ccser1,-0.421608741,1.626070252,-0.382678063,0.709301571,0.999996286,-4.596204975
Tfdp2,1.231224401,5.38552016,0.382373056,0.709521291,0.999996286,-4.601841629
Rarres1,-0.745346461,2.570718708,-0.382349818,0.709538031,0.999996286,-4.596959656
Tmem170b,0.440872017,1.424900799,0.382164157,0.709671792,0.999996286,-4.596091275
Serpinb8,-0.69857281,2.234679043,-0.38203201,0.709767004,0.999996286,-4.596644785
LOC103692362,0.351571459,0.81590563,0.381761966,0.709961587,0.999996286,-4.595820927
Akr1c14,-0.298216817,1.036913596,-0.381643929,0.710046647,0.999996286,-4.595907916
LOC100912305,0.347677614,0.048509992,0.381549546,0.710114664,0.999996286,-4.595595365
Chchd10,-0.407489285,-0.365267831,-0.381321037,0.71027935,0.999996286,-4.595510378
LOC103693392,-0.395324758,-0.217744911,-0.381306793,0.710289616,0.999996286,-4.595538423
Pxmp2,0.361523825,1.087425142,0.381235706,0.710340852,0.999996286,-4.595929797
Myl4,-0.387460194,0.513130378,-0.381077616,0.7104548,0.999996286,-4.595719566
Clip4,-0.368869071,1.073619937,-0.380994328,0.710514835,0.999996286,-4.595924015
LOC100910990,0.342893752,0.480748117,0.380987044,0.710520086,0.999996286,-4.595709799
Chmp4c,-0.507726301,1.679507987,-0.380303927,0.711012567,0.999996286,-4.596240324
Il10ra,-0.50075428,-0.636778298,-0.380293909,0.711019791,0.999996286,-4.5954648
Tnfrsf25,-0.410059043,1.414930695,-0.380253626,0.711048836,0.999996286,-4.596087742
Arl4a,1.145063867,4.715592279,0.380144808,0.711127301,0.999996286,-4.600543821
LOC681292,0.337355962,0.8110068,0.380031791,0.711208797,0.999996286,-4.595820293
Zmynd12,-0.407984002,-0.38006949,-0.379773037,0.711395397,0.999996286,-4.595508267
Gria2,-0.771705552,3.215233151,-0.379611974,0.711511558,0.999996286,-4.597761093
Podxl2,-0.856042955,3.862129338,-0.379581547,0.711533504,0.999996286,-4.598834623
LOC103690017,0.358764701,0.831112732,0.378979628,0.711967689,0.999996286,-4.595828423
Tbx3,-0.383854699,1.025154448,-0.378912651,0.712016008,0.999996286,-4.595905048
Npy1r,0.352496849,1.078040288,0.378665517,0.71219431,0.999996286,-4.595927716
Clhc1,0.416925689,-0.613074905,0.378655151,0.71220179,0.999996286,-4.595469088
RGD1565766,0.528852984,2.266410638,0.378351421,0.71242095,0.999996286,-4.596677519
RGD1562963,0.774598566,2.939114218,0.378326661,0.712438817,0.999996286,-4.597390232
LOC686050,0.439006634,-0.679615585,0.377946833,0.712712928,0.999996286,-4.595458914
Gna14,-0.288990869,0.90176701,-0.377646805,0.71292948,0.999996286,-4.59585624
Prr22,-0.414615563,1.118081117,-0.377367297,0.713131244,0.999996286,-4.595946286
Lancl3,-0.366798109,0.148430009,-0.376994393,0.713400464,0.999996286,-4.595621345
Ttc30a,-0.3705683,0.814579762,-0.376958688,0.713426243,0.999996286,-4.595823658
LOC102552297,-0.397693752,1.10398876,-0.376253137,0.713935737,0.999996286,-4.595940912
Ddit4,1.389470973,5.772685643,0.376032277,0.714095254,0.999996286,-4.602514587
Tmem121,-0.605214602,2.487365008,-0.375665962,0.714359859,0.999996286,-4.596886731
Lppr5,-0.521116491,2.090901844,-0.37528739,0.714633359,0.999996286,-4.596536228
Mir140,0.613603677,2.499331558,0.375246075,0.714663209,0.999996286,-4.596899339
Ptges,0.794893281,3.216266778,0.375216267,0.714684746,0.999996286,-4.597773597
Isg15,-0.348143214,0.991831807,-0.375056654,0.714800075,0.999996286,-4.595894101
LOC102547591,-0.524501796,1.83355371,-0.37496117,0.71486907,0.999996286,-4.596347125
Rtkn,0.375266342,-0.273795625,0.37482717,0.714965902,0.999996286,-4.59553001
RGD1310507,0.486276332,-0.847802172,0.374821747,0.71496982,0.999996286,-4.595435143
LOC100912282,0.375886823,1.241069523,0.374814725,0.714974895,0.999996286,-4.596004869
LOC103689983,0.36372496,1.005505368,0.374800135,0.714985438,0.999996286,-4.595899922
Fgfbp1,0.53224683,-0.132930968,0.374762507,0.715012631,0.999996286,-4.595558368
Exoc3l4,0.523482237,1.964021146,0.374712999,0.715048408,0.999996286,-4.596440069
Gstm5,1.059381297,4.721208491,0.374221013,0.715403989,0.999996286,-4.600585455
P2rx7,0.515934588,-1.051582688,0.373966414,0.715588027,0.999996286,-4.595408191
Phf11b,0.34257238,0.721393983,0.373904362,0.715632885,0.999996286,-4.595792133
Fcna,0.547827122,2.022186027,0.37344319,0.715966301,0.999996286,-4.596485413
Nrgn,-0.525439674,1.692487398,-0.373219403,0.716128117,0.999996286,-4.596255987
LOC100359752,-0.42755135,0.989064415,-0.372977017,0.716303397,0.999996286,-4.595894474
LOC100912369,-0.410859921,-0.517266103,-0.372840932,0.716401814,0.999996286,-4.595486759
LOC100909797,0.486927729,-0.829594508,0.372806525,0.716426698,0.999996286,-4.595438319
Gpr133,-0.720985322,2.680944612,-0.372750275,0.71646738,0.999996286,-4.597094736
Col13a1,-0.957730078,4.365069187,-0.37244121,0.716690924,0.999996286,-4.59986
LOC103693697,0.421135253,1.077617362,0.372187215,0.716874657,0.999996286,-4.595932471
LOC103691759,0.419458602,-0.566574504,0.371872257,0.717102515,0.999996286,-4.595478871
RGD1563323,0.495018688,-0.995707384,0.371845366,0.71712197,0.999996286,-4.595415948
Myo7a,-0.50937992,1.898165178,-0.371754648,0.717187607,0.999996286,-4.596395888
LOC103691784,0.413172718,1.175749411,0.371524133,0.7173544,0.999996286,-4.595976881
Ndrg2,1.768678536,7.893275107,0.371477406,0.717388213,0.999996286,-4.603357303
LOC679963,-0.542207401,2.149422482,-0.371247483,0.717554596,0.999996286,-4.59658883
LOC102553183,-0.464174691,1.950321677,-0.371236171,0.717562782,0.999996286,-4.596434225
Plbd1,0.39073799,1.392754195,0.371221983,0.71757305,0.999996286,-4.596084215
Dok5,-0.630555229,2.88274013,-0.371215102,0.71757803,0.999996286,-4.597334558
Egr2,-0.471802405,1.769407822,-0.370779913,0.717893,0.999996286,-4.596308396
LOC360998,-0.428001341,-0.100811628,-0.370713729,0.717940906,0.999996286,-4.59556684
LOC103690441,-0.348479937,0.221248442,-0.370633763,0.717998789,0.999996286,-4.595642806
LOC102551922,0.42399528,1.534861676,0.370608836,0.718016832,0.999996286,-4.59616326
Zfp874b,0.435210621,1.63809854,0.370479597,0.718110387,0.999996286,-4.596224935
LOC102550438,0.345853811,1.168390685,0.370343576,0.718208856,0.999996286,-4.595974438
Mfsd9,-0.533036252,1.948526358,-0.37001543,0.71844643,0.999996286,-4.596434387
Pde8b,-0.337943741,0.366223119,-0.369782327,0.718615214,0.999996286,-4.595682493
Fam195a,0.334588048,0.672734621,0.369696239,0.718677552,0.999996286,-4.595777904
Gsto2,0.501662087,1.547726487,0.369612046,0.718738519,0.999996286,-4.596171669
Lmntd2,0.434982227,1.12222873,0.369581995,0.718760281,0.999996286,-4.595954172
Klhl40,0.393486917,-0.397245448,0.369503952,0.718816798,0.999996286,-4.595508906
Ctnna2,-0.667945703,-1.133103982,-0.369374328,0.718910672,0.999996286,-4.595399289
Scd4,0.424189969,-0.687348165,0.36929028,0.718971542,0.999996286,-4.595460475
LOC102548423,0.607456915,2.305219496,0.369190623,0.71904372,0.999996286,-4.59672531
Uba7,-0.755745567,3.3832143,-0.368607483,0.719466124,0.999996286,-4.598042431
Ada,-0.389086616,1.22841186,-0.368498854,0.719544821,0.999996286,-4.596004002
Tmem238,-0.445653159,1.76508058,-0.368495091,0.719547548,0.999996286,-4.596308023
Ccr10,-0.583167445,-1.043657394,-0.368333244,0.719664805,0.999996286,-4.595410711
LOC691931,-0.365983443,-0.047832935,-0.36829013,0.719696043,0.999996286,-4.595579385
LOC103694415,0.404507924,1.146090206,0.368230253,0.719739427,0.999996286,-4.595965939
Pgm5,-0.650481273,2.783375227,-0.368169342,0.71978356,0.999996286,-4.597220415
Kif9,0.443383989,-0.61659715,0.3679441,0.719946771,0.999996286,-4.595472036
LOC499781,0.61912625,2.283760261,0.367923361,0.719961799,0.999996286,-4.596708034
Hils1,0.498882897,2.225220162,0.367493034,0.720273659,0.999996286,-4.596657599
LOC690120,-0.341624266,-0.005888834,-0.367118943,0.720544807,0.999996286,-4.595589286
Grid1,-0.413191602,1.467850391,-0.367110088,0.720551226,0.999996286,-4.596128682
Rph3al,0.555468275,1.950098121,0.366892116,0.720709235,0.999996286,-4.596439321
Ppp4r4,-0.452673708,1.66847308,-0.366221944,0.721195132,0.999996286,-4.596248227
LOC103694081,0.408547719,-0.46964098,0.366152756,0.721245302,0.999996286,-4.595497226
Tmod4,0.470577896,1.670317338,0.366109858,0.72127641,0.999996286,-4.5962495
Pde6a,-0.510205762,-0.816008996,-0.365915695,0.721417215,0.999996286,-4.595442301
S1pr1,-0.906843613,3.86673626,-0.365793864,0.721505572,0.999996286,-4.598891156
Itga2b,-0.40486199,0.982892024,-0.365737247,0.721546633,0.999996286,-4.595897115
Ccer2,0.348379144,0.486792078,0.365614906,0.721635365,0.999996286,-4.595720177
Gcgr,0.598522733,2.419562581,0.36557772,0.721662337,0.999996286,-4.596836952
Grhl1,0.496589864,1.805412272,0.365435306,0.721765635,0.999996286,-4.596338563
Rnf122,-0.736980346,3.10098316,-0.365088037,0.722017545,0.999996286,-4.597634625
LOC103693182,0.938170996,3.811360669,0.364651787,0.722334051,0.999996286,-4.598792051
Acot11,0.600480467,2.589170416,0.36445191,0.722479083,0.999996286,-4.597009979
Il17re,-0.510360416,-0.364960534,-0.364078256,0.722750239,0.999996286,-4.595516766
Slc10a1,0.345537903,0.191657222,0.363991854,0.722812946,0.999996286,-4.595638345
Sdr16c5,-0.356272862,0.089052608,-0.363323989,0.723297724,0.999996286,-4.595613158
LOC690826,-0.469251868,1.652760045,-0.363276005,0.723332558,0.999996286,-4.596241375
Zkscan2,-0.301557875,0.561641228,-0.363224859,0.723369689,0.999996286,-4.595744956
Chst10,-0.769538638,3.496806743,-0.363188991,0.723395728,0.999996286,-4.598240683
LOC103692338,-0.422599331,1.515016987,-0.362953784,0.723566496,0.999996286,-4.596159146
Veph1,-0.433609994,1.959905221,-0.362927389,0.723585661,0.999996286,-4.596451367
Adamts18,-0.860158949,3.231153798,-0.362458604,0.723926062,0.999996286,-4.597826895
Vamp5,-0.377213134,-0.261675959,-0.362341315,0.724011239,0.999996286,-4.59553712
Dtx1,0.41066884,1.301107323,0.361853825,0.724365306,0.999996286,-4.596045144
Carns1,-0.630741636,2.621097881,-0.361761998,0.724432007,0.999996286,-4.5970487
Gramd1c-2,0.350993703,0.796884425,0.361524364,0.724604633,0.999996286,-4.595827158
Ggta1p,1.123740971,4.928803016,0.361406295,0.724690409,0.999996286,-4.601079662
LOC102546698,-0.33848006,0.771227733,-0.361355146,0.724727568,0.999996286,-4.595817858
Dpysl3,-1.045254076,4.175637415,-0.361270541,0.724789036,0.999996286,-4.599519059
Tenm1-2,-0.455444176,0.981324732,-0.36118653,0.724850075,0.999996286,-4.595899666
Mlkl,-0.319776475,0.27079052,-0.361006064,0.724981199,0.999996286,-4.595660546
Osm,-0.40065695,-0.135700116,-0.360960973,0.725013963,0.999996286,-4.595563366
Wdr93,0.500344417,1.803168071,0.360863764,0.725084599,0.999996286,-4.596342055
Col17a1,-1.01697551,4.167518371,-0.360622654,0.725259811,0.999996286,-4.599505107
Myh3,0.993321992,2.666762219,0.360526003,0.72533005,0.999996286,-4.597100962
Chchd4,0.401964594,1.34890768,0.360309365,0.725487499,0.999996286,-4.596070798
Atp1b1,1.456729228,6.69422182,0.360119182,0.725625731,0.999996286,-4.603542766
LOC100909441,-0.361302199,1.050753115,-0.360069994,0.725661485,0.999996286,-4.595929775
LOC103693757,-0.395583349,-0.067052142,-0.359669895,0.725952331,0.999996286,-4.595578718
Fgf11,-0.820483335,3.153765969,-0.359518103,0.726062685,0.999996286,-4.597721186
Popdc2,0.442890053,1.562219793,0.359504504,0.726072572,0.999996286,-4.596189885
Fabp4,0.799877476,3.952075135,0.359492815,0.726081071,0.999996286,-4.599077791
Sostdc1,-0.81132135,3.493317611,-0.359419535,0.726134349,0.999996286,-4.598245441
Pde11a,-0.474249243,1.770286858,-0.3592321,0.726270631,0.999996286,-4.596321498
Cdh2,-1.081636725,5.064074922,-0.3589119,0.726503467,0.999996286,-4.601370578
Plekho1,-0.831372664,3.673204613,-0.358600007,0.726730291,0.999996286,-4.598558079
Sdr42e2,-0.397247946,-0.753570913,-0.357711484,0.727376619,0.999996286,-4.595453915
Tspan17,-0.373211654,1.544362117,-0.357679624,0.727399798,0.999996286,-4.596181084
Tmem169,0.361443377,-0.077892904,0.357428428,0.727582566,0.999996286,-4.595577243
C1rl,-0.333296593,0.770879487,-0.35667476,0.728131031,0.999996286,-4.595820639
Slc9a9,0.354840316,1.008484611,0.356255154,0.728436458,0.999996286,-4.59591444
LOC103691004,0.318004245,0.220214817,0.356194489,0.72848062,0.999996286,-4.595649395
Dnah6,0.512760709,1.988277703,0.355951108,0.728657802,0.999996286,-4.596481116
LOC103692136,-0.722457001,3.127324513,-0.355623187,0.728896555,0.999996286,-4.597692624
LOC308990,-0.477199349,1.530618236,-0.355025889,0.729331514,0.999996286,-4.596175524
LOC690283,0.378597542,1.35327718,0.354950179,0.729386654,0.999996286,-4.596077589
Tcf7,-1.092401447,4.638941497,-0.354707367,0.729563506,0.999996286,-4.600508815
Lamb3,0.415023955,1.420042973,0.35468586,0.729579171,0.999996286,-4.596113441
Endog,-0.32436567,0.910994732,-0.354449068,0.729751656,0.999996286,-4.59587565
LOC100912309,-0.371463782,0.922963695,-0.354395937,0.72979036,0.999996286,-4.595880499
Fhl4,0.320634093,1.170113565,0.354291701,0.729866294,0.999996286,-4.595987657
LOC102549308,0.324324583,0.888857701,0.353948248,0.730116516,0.999996286,-4.595867173
LOC103692452,0.30519445,0.681695027,0.35365517,0.730330063,0.999996286,-4.59579055
Ampd1,-0.433656391,-0.723985771,-0.353598712,0.730371203,0.999996286,-4.595459624
Nupr1l,-0.335262715,0.684305064,-0.353369703,0.730538088,0.999996286,-4.595791626
Hhipl1,0.622470823,2.653531383,0.352871511,0.730901182,0.999996286,-4.597099563
LOC103692137,0.448933741,-0.754211305,0.352727861,0.73100589,0.999996286,-4.595455281
Mkrn3,-0.470920087,1.742717582,-0.352417131,0.731232405,0.999996286,-4.596310248
LOC102554055,-0.333743895,-0.099093204,-0.352216123,0.73137895,0.999996286,-4.595574689
LOC102548772,0.458260963,-0.82410882,0.351841465,0.731652124,0.999996286,-4.595445178
Nfasc,0.465643627,2.118097724,0.351446645,0.73194004,0.999996286,-4.596589108
LOC103694129,0.58385906,2.457192,0.351436017,0.731947791,0.999996286,-4.596895523
Cacna1e,-1.004246742,4.537955776,-0.351064565,0.732218707,0.999996286,-4.600314605
Ptprc,-0.485504773,1.968361049,-0.35096714,0.732289769,0.999996286,-4.596471873
Fxyd3,0.357650932,0.090640762,0.350688795,0.732492811,0.999996286,-4.595619076
Sh2d1b2,-0.333445083,0.989550258,-0.350688739,0.732492852,0.999996286,-4.595910326
Mettl18,-0.578064542,2.381489606,-0.350645134,0.732524662,0.999996286,-4.596823304
Parvg,-0.554777463,-0.716124695,-0.350636913,0.732530659,0.999996286,-4.59546171
Acvr2b,0.379602669,1.134514523,0.350448957,0.73266778,0.999996286,-4.595974124
Ccdc30,0.359382942,0.004050134,0.350243436,0.732817726,0.999996286,-4.59559867
Pclo-2,-0.651798932,-1.581432692,-0.350095801,0.732925447,0.999996286,-4.595354559
LOC102554532,0.33015919,0.375848739,0.350038977,0.73296691,0.999996286,-4.595695267
Kank3,-0.773222434,3.472479347,-0.349919539,0.733054063,0.999996286,-4.598237016
Stk32c,0.389793842,1.167055422,0.349717701,0.733201352,0.999996286,-4.595989675
Mrgbp,-0.327506158,0.973113068,-0.34964825,0.733252036,0.999996286,-4.595904186
LOC103693540,-0.333675562,0.050433432,-0.349364592,0.733459056,0.999996286,-4.595609947
Unc13a,0.386365532,-0.298371997,0.348990741,0.733731936,0.999996286,-4.595534818
Dsc2,0.64704351,2.354304056,0.348805319,0.733867292,0.999996286,-4.596800181
LOC685580,0.9781239,4.256517288,0.348723613,0.73392694,0.999996286,-4.59973321
Fam13a,0.839588757,3.775593137,0.348699591,0.733944477,0.999996286,-4.598775873
Vma21,0.544056772,-0.996819349,0.348641432,0.733986936,0.999996286,-4.595421999
Agfg2,0.713843178,3.255832113,0.348350473,0.734199366,0.999996286,-4.597897946
Rsl1d1,0.368516704,1.157231088,0.348010941,0.734447289,0.999996286,-4.595986375
Foxa2,1.042169965,4.846525634,0.347732465,0.734650652,0.999996286,-4.600979339
LOC100912455,0.324554052,0.606373355,0.347604371,0.734744203,0.999996286,-4.59576833
Smim24,-0.315371591,0.334761987,-0.347512307,0.734811443,0.999996286,-4.595684725
Vwa3b,0.352139223,0.0303339,0.34738456,0.734904748,0.999996286,-4.595606003
LOC102555591,-0.318184539,0.515932062,-0.347310345,0.734958956,0.999996286,-4.595739067
Yme1l1,0.332140929,0.109539034,0.34653951,0.735522076,0.999996286,-4.595625504
LOC103693178,0.43907026,1.363225416,0.346536414,0.735524338,0.999996286,-4.596089808
Igtp,-0.322710387,1.137736875,-0.346462174,0.735578582,0.999996286,-4.59597852
Poln,0.342094145,-0.127284269,0.346349038,0.735661248,0.999996286,-4.595570863
LOC102555217,0.293420574,0.902199145,0.346245167,0.735737146,0.999996286,-4.595877472
LOC103690801,0.336474817,-0.137367974,0.346116926,0.735830857,0.999996286,-4.595568784
Zbp1,-0.563163952,2.487692622,-0.345957835,0.735947117,0.999996286,-4.596934569
LOC102548397,0.586763394,2.44933815,0.345874744,0.73600784,0.999996286,-4.596896184
Rtn4ip1,-0.686766715,2.840523026,-0.345729855,0.736113731,0.999996286,-4.597331978
Ate1,0.301055141,0.487333395,0.345578828,0.736224113,0.999996286,-4.595730999
Gal3st1,0.360163839,-0.148370702,0.344971931,0.736667745,0.999996286,-4.595566867
Klhl34,-0.566917263,2.741083932,-0.34473817,0.736838647,0.999996286,-4.597214158
LOC102554057,0.392408264,-0.355733679,0.344718507,0.736853023,0.999996286,-4.595525285
Thsd1,-0.678605479,2.837204029,-0.344358776,0.737116053,0.999996286,-4.597330418
Tsga10ip,0.833246751,-0.493625025,0.343651569,0.737633254,0.999996286,-4.595500501
Tnk1,-0.288538906,0.823571146,-0.343503948,0.737741231,0.999996286,-4.595848415
Napsa,0.415164709,-1.333133027,0.343316083,0.737878652,0.999996286,-4.595382116
Sema6b,-0.559203889,2.188064158,-0.343275534,0.737908315,0.999996286,-4.596658404
LOC102550011,0.30257619,0.732962661,0.343214071,0.737953277,0.999996286,-4.595814875
Gnaz,-0.313621305,0.386491291,-0.343071578,0.73805752,0.999996286,-4.595701798
LOC102547665,0.363884386,1.13539994,0.342861599,0.738211142,0.999996286,-4.595980058
Gzmm,0.312943707,0.368973284,0.342579058,0.738417872,0.999996286,-4.595696922
Nrip2,-0.538852598,2.497625327,-0.342507396,0.738470308,0.999996286,-4.596950018
Pigb,0.394010956,1.485134021,0.342457851,0.738506562,0.999996286,-4.596160565
LOC102555687,-0.352864849,-0.230477675,-0.342324696,0.738604001,0.999996286,-4.595550733
Edaradd,0.412693768,-0.500864869,0.34221938,0.738681071,0.999996286,-4.595499688
Nup210l,-0.370852827,0.615107522,-0.341722052,0.739045055,0.999996286,-4.595774492
Tnxa-ps1,-0.400220545,0.782751489,-0.341635532,0.739108384,0.999996286,-4.595834148
RGD1563285,0.448846677,-0.78045134,0.341496813,0.739209925,0.999996286,-4.595454534
Tsc22d3,1.554870511,7.435575397,0.341447104,0.739246313,0.999996286,-4.603725878
LOC100363196,-0.353222167,0.970194272,-0.341444266,0.739248391,0.999996286,-4.595908436
LOC103694069,0.408202983,0.881033286,0.341318187,0.739340686,0.999996286,-4.595872152
Tmem255b,0.667390219,1.595013977,0.341121007,0.739485037,0.999996286,-4.596226908
Galnt14,-0.736583643,-1.239825336,-0.34095684,0.73960523,0.999996286,-4.595393389
Phlda2,-0.584230176,2.493248297,-0.340934031,0.739621929,0.999996286,-4.596947923
Pik3cb,-0.427862486,1.884111363,-0.340703792,0.739790508,0.999996286,-4.596420982
Lonrf2,-0.65537643,2.830391696,-0.340539486,0.739910821,0.999996286,-4.59732903
Ears2,0.608606361,2.576512128,0.3404186,0.739999343,0.999996286,-4.597036187
Nos1ap,-0.653622891,2.673341735,-0.340342463,0.740055099,0.999996286,-4.597143144
LOC103693587,0.341673182,-0.074306895,0.339971037,0.74032712,0.999996286,-4.595584935
LOC102551963,-0.346492864,0.58337037,-0.339686597,0.740535461,0.999996286,-4.595764986
LOC102553586,0.547571889,-0.822217153,0.339569131,0.740621506,0.999996286,-4.595448858
Fosl2,0.841352521,3.772196189,0.339447013,0.740710963,0.999996286,-4.598797914
Lpl,-0.813012927,3.875925653,-0.339373651,0.740764705,0.999996286,-4.598996119
Glis3-2,0.596434163,2.480246389,0.339287726,0.740827654,0.999996286,-4.596937124
LOC100909405,0.826877741,3.493208157,0.339130988,0.740942484,0.999996286,-4.598299979
Dtx3l,-0.324746891,0.696617424,-0.338805803,0.741180743,0.999996286,-4.595804343
Ret,-0.38142732,-0.372398188,-0.338437435,0.741450676,0.999996286,-4.595524258
Pex11a,0.624372948,2.648626025,0.338177181,0.741641407,0.999996286,-4.59711879
Snx22,-0.685012303,3.01415523,-0.337917064,0.741832056,0.999996286,-4.59757287
LOC102549857,0.351548225,-0.364318162,0.337421696,0.742195179,0.999996286,-4.595526126
Necab2,-0.398936856,1.484916928,-0.337398373,0.742212278,0.999996286,-4.596164815
LOC102554186,0.348057022,-0.401980038,0.337348938,0.742248519,0.999996286,-4.595519084
LOC363208,-0.428329593,-0.702919587,-0.337327656,0.742264122,0.999996286,-4.595467634
LOC103692435,0.456296728,1.417802306,0.337249143,0.742321682,0.999996286,-4.596126996
Ptprg,1.276677562,6.119400764,0.33723642,0.74233101,0.999996286,-4.603241161
Psme1-ps1,-0.289386384,0.802350194,-0.337219571,0.742343363,0.999996286,-4.595844138
