Ensg	CD-coefficient	Significance
ENSMUSG00000039956	0.01465463246424017	0.00014258399717403947
ENSMUSG00000021981	0.014403584788720843	0.036664693976497104
ENSMUSG00000062762	0.014031245562922531	0.022990523249502126
ENSMUSG00000028967	0.013917466112588123	-0.0014105082701917904
ENSMUSG00000030747	0.013444750451309783	-0.007301616598266114
ENSMUSG00000022462	0.013328820064276388	0.0355601513981369
ENSMUSG00000021417	0.013108025208593322	0.036922370990111614
ENSMUSG00000019944	0.012889405082668576	0.032569791699250616
ENSMUSG00000046794	0.012652031751167463	0.010338494610181437
ENSMUSG00000030088	0.012647032486549139	-0.005652156194194735
ENSMUSG00000017009	0.01254442496089031	0.02802302570332782
ENSMUSG00000073988	0.012454387933460967	0.024272082959067354
ENSMUSG00000055322	0.012330747792558891	0.01899123041279205
ENSMUSG00000026576	0.012279203534793484	0.014980347044880327
ENSMUSG00000034158	0.012092468845340548	-0.008095325267693021
ENSMUSG00000105353	0.011983588300957429	0.0015884175398662714
ENSMUSG00000092008	0.011826605838168094	0.015598590463716588
ENSMUSG00000020429	0.011359001608765282	0.0347140408986186
ENSMUSG00000023067	0.011333253551769631	0.03316467162976569
ENSMUSG00000022477	0.010788160700428599	0.03549253275032746
ENSMUSG00000030201	0.01071404577772982	-0.005986976152391521
ENSMUSG00000005514	0.010570550233128502	0.015398193198998461
ENSMUSG00000032080	0.010475545089337302	-0.00883150373366931
ENSMUSG00000026170	0.010448693959058945	0.018039459592295082
ENSMUSG00000064120	0.0103441602086865	0.02352159757906669
ENSMUSG00000016559	0.010279498235241678	0.027752868635820882
ENSMUSG00000071350	0.009960400985560194	0.024318594300948737
ENSMUSG00000034780	0.00986271040326184	-0.007557058313271636
ENSMUSG00000021750	0.009843168226591294	0.03689664328239961
ENSMUSG00000021477	0.009775267724184336	0.0369527457662539
ENSMUSG00000032786	0.009725851160279157	-0.008723466865466878
ENSMUSG00000021453	0.009377048172117963	0.03694047635757264
ENSMUSG00000007659	0.009365765690539388	0.019520100319593087
ENSMUSG00000036585	0.00919180760090256	-0.005699219756054474
ENSMUSG00000005547	0.009099532674916732	0.015473688057047998
ENSMUSG00000024892	0.009077521911766147	0.026583810233928223
ENSMUSG00000001542	0.00886450121154969	0.003667767108952334
ENSMUSG00000031770	0.008811033849065337	-0.008644890273998007
ENSMUSG00000022094	0.00875873438343354	0.03650107736221786
ENSMUSG00000028553	0.008442399879941137	0.0010183198513321057
ENSMUSG00000058135	0.008403164280708246	0.020855764021496248
ENSMUSG00000031980	0.008353861608412942	-0.008792470950993392
ENSMUSG00000030545	0.00826569011615157	-0.006834262003670211
ENSMUSG00000019818	0.008259552833072037	0.032155508346842776
ENSMUSG00000017707	0.008240296089381042	0.028838075311841377
ENSMUSG00000019970	0.008102455749688943	0.032651745852311856
ENSMUSG00000026393	0.007994235346755212	0.016337104731562302
ENSMUSG00000047731	0.007982123383765506	0.011438212390546432
ENSMUSG00000050440	0.0077624909853916315	0.014503423767984414
ENSMUSG00000022347	0.007666122712078744	0.035935747313547234
ENSMUSG00000074622	0.007554828225486542	0.024126457604246143
ENSMUSG00000055730	0.007354921415901382	0.01928936622916244
ENSMUSG00000059811	0.007225217248590652	0.02172055116431537
ENSMUSG00000039648	0.007093255107082381	-0.0004479070915065497
ENSMUSG00000026670	0.007075852170858983	0.014055433317499089
ENSMUSG00000032092	0.007015673348857319	-0.008835457437300354
